timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-24T18:50-07:00[America/Denver],807.0,805.67666666666666666666666666667,1.0023350556438791732909379968203,806.50875,805.5045,806.52527395647701891451097112113,806.17845153232924682407817039385,0.031348606993477626268634355519618,0.061996280223186608803471791692498,51.818701893337734622086467646588,-28.571428571428571428571428571429,6.2009133193247682583097593036129,2.4032937644756096
2013-11-24T18:55-07:00[America/Denver],803.02,805.12,0.99506815365551425030978934324659,805.75375,805.615,805.74632418837101478918128768259,805.87764662448836619973438085615,-0.0041391680367714480148476735159465,-0.43149411035337879727216367017979,44.547964633525844633421620033260,-69.494949494949494949494949494949,6.2638676533585298453942713384323,2.5666194116155268
2013-11-24T19:00-07:00[America/Denver],803.5,805.3,1.0005977435182187243157082015392,805.05875,805.497,805.24714103539967821928153905026,805.65120408882280753329300773476,-0.027157421246178077562629951050158,-0.37197768133911965282083075015499,45.540415676553198907678825608191,-64.646464646464646464646464646465,6.3206742706906033531245577715107,2.6685126370091545
2013-11-24T19:05-07:00[America/Denver],805.12,804.84,1.0020161792159303049159925326696,805.57125,805.461,805.21888747197752750671099782575,805.60061322322063539156532581240,-0.028843714541827471068774252164266,-0.17110973341599504029758214507130,48.866660550856984241871614288610,-48.282828282828282828282828282828,6.1746405571560731854683298829352,2.682357704919845
2013-11-24T19:10-07:00[America/Denver],803.14,805.38333333333333333333333333333,0.99754073926868044515103338632750,805.6475,805.618,804.75691247820474366252827546397,805.36626910672343204085930658967,-0.049451201408755348991066883645525,-0.41661500309981401115933044017359,45.230476029437028101389427404717,-68.282828282828282828282828282828,6.2054085292982695261949133887884,2.790467465044054
2013-11-24T19:15-07:00[America/Denver],805.0,806.01,1.0023159100530418108922479268870,805.11125,805.845,804.81093192749257839878671376542,805.33138633465453375421869396889,-0.046609126487886772674720505749685,-0.18598884066955982641041537507750,49.064758133901653681015146253178,-49.494949494949494949494949494949,6.2336381028333560498851677193490,2.7375104137347357
2013-11-24T19:20-07:00[America/Denver],814.0,810.37666666666666666666666666667,1.0111801242236024844720496894410,805.7375,806.2735,806.85294705471644966152148687294,806.15696858849695904078527915715,0.045251700998635447289581563741094,0.92994420334779913205207687538748,62.679439978278559997464740337141,0,6.4654561976916882473909093333816,3.442870850595118
2013-11-24T19:25-07:00[America/Denver],808.0,810.35,0.99262899262899262899262899262899,806.0975,806.3825,807.10784770922390526680442433932,806.33249538959248673626690304906,0.057290067588489738634318326664527,0.18598884066955982641041537507750,52.587686875419697827977394466260,-55.555555555555555555555555555556,6.7896833878071038350213638667125,3.3888822580880076
2013-11-24T19:30-07:00[America/Denver],805.2,810.00333333333333333333333333333,0.99653465346534653465346534653465,805.8725,806.3505,806.68388155161859302768894580222,806.22463868582177372293311305537,0.038374039655919340182970140539851,-0.16119032858028518288902665840050,48.651051382599496057033937811256,-73.710819009100101112234580384226,7.1876992184167486432702956733769,3.2888457903424206
2013-11-24T19:35-07:00[America/Denver],805.85,810.09333333333333333333333333333,1.0008072528564331843020367610532,806.22625,806.3435,806.49857454014779459562210343770,806.18895881098160479997227260199,0.029545138785515936431440761724660,-0.080595164290142591444513329200248,49.594373807006764461365323119473,-70.424671385237613751263902932255,7.5398142574959112111067808897081,3.0131277396602694
2013-11-24T19:40-07:00[America/Denver],806.01,810.58666666666666666666666666667,1.0001985481168952038220512502327,806.54,806.3445,806.39000242011495136300773689927,806.17191511469764243951886558594,0.023873966438277717784188804093581,-0.060756354618722876627402355858648,49.838654469790377019907343810401,-69.798994974874371859296482412060,7.8653235446211156505514418452227,2.8451003353778836
